-255	0	0	8	1	0	7	0	0	9	0	6	8	7	0	
0	-255	0	0	0	0	0	7	6	0	9	8	0	0	8	
0	0	-255	9	0	4	3	0	7	9	0	2	0	5	8	
8	0	9	-255	0	3	7	1	7	4	0	5	0	4	0	
1	0	0	0	-255	0	6	9	0	0	0	0	0	0	9	
0	0	4	3	0	-255	8	0	0	2	0	9	0	6	0	
7	0	3	7	6	8	-255	3	0	9	0	1	0	0	4	
0	7	0	1	9	0	3	-255	7	0	4	0	1	0	9	
0	6	7	7	0	0	0	7	-255	7	0	0	0	0	9	
9	0	9	4	0	2	9	0	7	-255	0	0	4	7	0	
0	9	0	0	0	0	0	4	0	0	-255	6	2	0	0	
6	8	2	5	0	9	1	0	0	0	6	-255	2	9	8	
8	0	0	0	0	0	0	1	0	4	2	2	-255	0	5	
7	0	5	4	0	6	0	0	0	7	0	9	0	-255	0	
0	8	8	0	9	0	4	9	9	0	0	8	5	0	-255	
