-255	7	2	7	4	2	3	2	7	2	4	5	2	8	6	5	6	4	
7	-255	4	1	9	1	2	4	9	1	6	1	4	2	7	3	1	9	
2	4	-255	6	8	1	2	7	5	7	4	8	9	8	3	3	9	8	
7	1	6	-255	5	7	8	1	6	6	6	1	9	3	5	5	7	1	
4	9	8	5	-255	8	8	7	2	2	1	4	9	6	6	1	1	9	
2	1	1	7	8	-255	5	1	1	9	1	8	2	4	4	6	7	5	
3	2	2	8	8	5	-255	4	9	7	8	2	1	3	6	2	6	2	
2	4	7	1	7	1	4	-255	9	5	7	9	9	8	7	1	2	7	
7	9	5	6	2	1	9	9	-255	6	5	6	8	7	1	4	2	7	
2	1	7	6	2	9	7	5	6	-255	3	3	1	6	9	2	7	1	
4	6	4	6	1	1	8	7	5	3	-255	9	1	4	1	8	5	3	
5	1	8	1	4	8	2	9	6	3	9	-255	8	3	9	9	5	4	
2	4	9	9	9	2	1	9	8	1	1	8	-255	9	9	2	7	8	
8	2	8	3	6	4	3	8	7	6	4	3	9	-255	9	8	7	9	
6	7	3	5	6	4	6	7	1	9	1	9	9	9	-255	3	9	7	
5	3	3	5	1	6	2	1	4	2	8	9	2	8	3	-255	3	7	
6	1	9	7	1	7	6	2	2	7	5	5	7	7	9	3	-255	9	
4	9	8	1	9	5	2	7	7	1	3	4	8	9	7	7	9	-255	
